v8-version,6,1,534,50,0
shared-library,"/usr/local/bin/node",0x100001800,0x100bbb69a,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff5837b3a0,0x7fff5856da4c,815603712
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff7da6194a,0x7fff7da61b2e,815603712
shared-library,"/usr/lib/libc++.1.dylib",0x7fff7dc94f40,0x7fff7dcdc2b0,815603712
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7d6f8f08,0x7fff7d6f990c,815603712
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff7e7bdf5c,0x7fff7e9752e6,815603712
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff7f062000,0x7fff7f08365a,815603712
shared-library,"/usr/lib/libz.1.dylib",0x7fff7fa4d2d0,0x7fff7fa58be5,815603712
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7fafcb08,0x7fff7faff56d,815603712
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff7fb01c6c,0x7fff7fb0ade1,815603712
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7fb0cef4,0x7fff7fb11a8b,815603712
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7fb14d48,0x7fff7fb1b59c,815603712
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff7fb1de80,0x7fff7fb82ab9,815603712
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7fc2b9a0,0x7fff7fc5696e,815603712
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff7fc65114,0x7fff7fc7d414,815603712
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff7fc82a51,0x7fff7fc82e80,815603712
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff7fc90fc0,0x7fff7fc90fc0,815603712
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff7fc916e8,0x7fff7fc959dc,815603712
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7fc9726e,0x7fff7fc98b42,815603712
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7fc99944,0x7fff7fc9ac73,815603712
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7fc9c74c,0x7fff7fcb1154,815603712
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7fcb385d,0x7fff7fcb3d0e,815603712
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff7fcb5300,0x7fff7fd361c7,815603712
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff7fd3ee04,0x7fff7fd416c0,815603712
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff7fd432d0,0x7fff7fd453eb,815603712
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff7fd46fda,0x7fff7fd47c44,815603712
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff7fd48f3c,0x7fff7fd4d4cd,815603712
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff7fd501f0,0x7fff7fd9541e,815603712
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff7fdc0140,0x7fff7fdf0143,815603712
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff7fe0c294,0x7fff7fe2531d,815603712
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff7fe2c360,0x7fff7fea1ce7,815603712
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff7fed0dbb,0x7fff7fed882e,815603712
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff7fedc148,0x7fff7fee483e,815603712
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff7fef9f40,0x7fff7fefc51d,815603712
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff7fefda1f,0x7fff7fefe588,815603712
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7fd99720,0x7fff7fdb6a2d,815603712
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff7fee5820,0x7fff7feeb38d,815603712
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff7feee018,0x7fff7fef617d,815603712
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff7feff938,0x7fff7ff0531e,815603712
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff7ff081cc,0x7fff7ff17c9d,815603712
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff7ff1c96c,0x7fff7ff212a7,815603712
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff7ff23178,0x7fff7ff43a56,815603712
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff7d54ee50,0x7fff7d579689,815603712
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7dcec600,0x7fff7dd0ad64,815603712
tick,0x100b26007,1157,0,0x0,4
profiler,"begin",1000
tick,0x1005f37e9,2198,0,0x0,1
tick,0x10086f5cc,3479,0,0x0,4
tick,0x10086f553,4746,0,0x0,4
code-creation,Stub,3,5612,0x31830b304000,342,"JSEntryStub"
code-creation,Stub,3,5644,0x31830b304160,342,"JSEntryStub"
code-creation,Builtin,5,5659,0x31830b3042c0,134,"EmptyFunction"
code-creation,Stub,3,5670,0x31830b304360,382,"CEntryStub"
code-creation,Builtin,5,5678,0x31830b3044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,5690,0x31830b304580,382,"CEntryStub"
code-creation,Builtin,5,5697,0x31830b304700,923,"CompileLazy"
code-creation,Stub,3,5705,0x31830b304aa0,1358,"RecordWriteStub"
code-creation,Stub,3,5712,0x31830b305000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,5733,0x31830b3050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,5742,0x31830b305640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,5766,0x31830b3057c0,1085,"FastNewObject"
tick,0x7fff7fdb5592,5787,0,0x0,4
code-creation,Builtin,5,5845,0x31830b305c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,5858,0x31830b305d60,2266,"RecordWriteStub"
code-creation,Stub,3,5866,0x31830b306640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,5873,0x31830b3067e0,2317,"RecordWriteStub"
code-creation,Stub,3,5880,0x31830b307100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,5888,0x31830b307180,2295,"RecordWriteStub"
code-creation,Stub,3,5896,0x31830b307a80,2265,"RecordWriteStub"
code-creation,Stub,3,5916,0x31830b308360,2257,"RecordWriteStub"
code-creation,Stub,3,5934,0x31830b308c40,2269,"RecordWriteStub"
code-creation,Stub,3,5942,0x31830b309520,2284,"RecordWriteStub"
code-creation,Stub,3,5949,0x31830b309e20,2254,"RecordWriteStub"
code-creation,Stub,3,5956,0x31830b30a700,2250,"RecordWriteStub"
code-creation,Stub,3,5963,0x31830b30afe0,2254,"RecordWriteStub"
code-creation,Stub,3,5971,0x31830b30b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,5978,0x31830b30c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,5986,0x31830b30c480,2266,"RecordWriteStub"
code-creation,Stub,3,5993,0x31830b30cd60,2292,"RecordWriteStub"
code-creation,Stub,3,6000,0x31830b30d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,6008,0x31830b30d920,980,"RecordWriteStub"
code-creation,Stub,3,6015,0x31830b30dd00,2254,"RecordWriteStub"
code-creation,Stub,3,6022,0x31830b30e5e0,404,"CEntryStub"
code-creation,Stub,3,6029,0x31830b30e780,980,"RecordWriteStub"
code-creation,Stub,3,6036,0x31830b30eb60,992,"RecordWriteStub"
code-creation,Stub,3,6073,0x31830b30ef40,2288,"RecordWriteStub"
code-creation,Stub,3,6123,0x31830b30f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6154,0x31830b30f980,1373,"RecordWriteStub"
code-creation,Stub,3,6163,0x31830b30fee0,2253,"RecordWriteStub"
code-creation,Stub,3,6171,0x31830b3107c0,2253,"RecordWriteStub"
code-creation,Stub,3,6178,0x31830b3110a0,2265,"RecordWriteStub"
code-creation,Stub,3,6186,0x31830b311980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6193,0x31830b311b60,1019,"CallICStub"
code-creation,Builtin,5,6200,0x31830b311f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,6207,0x31830b3120e0,459,"ToObject"
code-creation,Stub,3,6214,0x31830b3122c0,2250,"RecordWriteStub"
code-creation,Stub,3,6221,0x31830b312ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,6228,0x31830b312d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6236,0x31830b312ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6243,0x31830b313020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6250,0x31830b313160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6257,0x31830b3132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,6264,0x31830b3133e0,121,"Abort"
code-creation,Stub,3,6271,0x31830b313460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6278,0x31830b313660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6286,0x31830b313840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6293,0x31830b313a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6300,0x31830b313be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6327,0x31830b313da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6335,0x31830b313ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,6342,0x31830b3140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,6349,0x31830b3141a0,249,"CallBoundFunction"
code-creation,Builtin,5,6356,0x31830b3142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
